Modelo,Velocidade (km/h)
Merc 450SE,134
Camaro Z28,148
Merc 230,124
Pontiac Firebird,129
Hornet Sportabout,149
Duster 360,126
Lotus Europa,105
Maserati Bora,120
Hornet Sportabout,128
Fiat X1-9,118
Merc 280C,153
Merc 280C,153
Merc 280,142
Ford Pantera L,88
Honda Civic,115
AMC Javelin,159
Camaro Z28,136
Porsche 914-2,105
Hornet Sportabout,141
Hornet 4 Drive,137
Merc 450SL,95
Porsche 914-2,100
Lotus Europa,116
Camaro Z28,132
Ferrari Dino,172
Datsun 710,124
Ferrari Dino,153
Ferrari Dino,134
Toyota Corona,96
Pontiac Firebird,108
Hornet 4 Drive,140
Mazda RX4 Wag,104
Datsun 710,136
Merc 230,132
Pontiac Firebird,112
Duster 360,119
Dodge Challenger,101
Duster 360,139
Valiant,79
Maserati Bora,128
Merc 240D,133
Porsche 914-2,98
Cadillac Fleetwood,119
Duster 360,127
Porsche 914-2,117
Camaro Z28,147
Merc 230,127
Merc 230,117
Lotus Europa,117
Porsche 914-2,102
Merc 230,149
Pontiac Firebird,125
Merc 450SLC,105
Cadillac Fleetwood,128
Merc 450SL,93
Merc 450SLC,119
Merc 280C,162
Lotus Europa,87
Chrysler Imperial,132
Merc 280,143
Cadillac Fleetwood,139
Cadillac Fleetwood,119
Merc 230,120
Volvo 142E,113
Datsun 710,132
Valiant,100
Merc 230,126
Duster 360,147
Camaro Z28,154
Pontiac Firebird,126
Fiat X1-9,113
Ford Pantera L,84
Merc 450SLC,126
Fiat 128,103
Merc 450SL,99
Ford Pantera L,83
Merc 450SE,153
Merc 280,132
Fiat X1-9,101
Dodge Challenger,90
Honda Civic,121
Merc 280C,159
Merc 230,126
Toyota Corona,112
Volvo 142E,102
Merc 450SE,146
Camaro Z28,148
Fiat X1-9,123
Merc 230,115
Maserati Bora,121
Merc 450SE,147
Volvo 142E,94
Lincoln Continental,141
Merc 450SLC,130
Datsun 710,135
Merc 450SE,146
Ferrari Dino,121
Hornet 4 Drive,137
Lotus Europa,108
Merc 450SL,88
Volvo 142E,107
Merc 280C,159
Toyota Corolla,103
Dodge Challenger,107
Toyota Corona,83
Mazda RX4 Wag,100
Pontiac Firebird,101
Merc 450SE,150
Porsche 914-2,115
Fiat 128,97
Pontiac Firebird,107
Merc 280C,130
Cadillac Fleetwood,144
Ferrari Dino,131
Pontiac Firebird,124
Mazda RX4 Wag,96
Lincoln Continental,138
Duster 360,130
Camaro Z28,154
Merc 230,119
Valiant,77
Fiat X1-9,134
Hornet Sportabout,137
Hornet Sportabout,135
Hornet Sportabout,125
Datsun 710,129
Merc 240D,141
Lincoln Continental,141
Cadillac Fleetwood,130
Fiat X1-9,101
Valiant,82
Ford Pantera L,79
Valiant,104
Ford Pantera L,109
Merc 230,114
Datsun 710,123
Duster 360,143
Hornet 4 Drive,140
Datsun 710,138
Lotus Europa,92
Duster 360,130
Merc 280,132
Pontiac Firebird,126
Hornet 4 Drive,121
Toyota Corona,108
Merc 280,140
Mazda RX4 Wag,126
Mazda RX4 Wag,103
Mazda RX4 Wag,104
Cadillac Fleetwood,149
Hornet 4 Drive,126
Camaro Z28,154
Merc 230,120
Merc 450SE,143
Merc 280,150
Pontiac Firebird,131
Volvo 142E,89
Datsun 710,136
Valiant,89
Hornet Sportabout,152
Merc 240D,136
Fiat 128,107
Toyota Corona,101
Fiat X1-9,114
Lotus Europa,117
Merc 450SLC,113
Mazda RX4 Wag,107
Hornet Sportabout,138
Fiat 128,99
Valiant,95
Merc 240D,134
Merc 280,151
Dodge Challenger,112
Toyota Corona,89
Merc 450SL,87
Camaro Z28,126
Mazda RX4 Wag,105
Merc 450SL,102
Merc 280,137
Volvo 142E,91
Pontiac Firebird,104
Fiat X1-9,128
AMC Javelin,151
Camaro Z28,147
Merc 280,147
Datsun 710,146
Lotus Europa,85
Maserati Bora,114
Merc 450SE,138
Toyota Corona,110
Merc 280,162
Merc 280,131
Merc 450SL,89
Cadillac Fleetwood,154
Hornet 4 Drive,125
Merc 450SLC,123
Volvo 142E,93
Lotus Europa,102
Ford Pantera L,97
Duster 360,135
Merc 230,105
Merc 230,103
Volvo 142E,87
Honda Civic,139
Datsun 710,140
Datsun 710,124
Ferrari Dino,135
Merc 450SL,104
Porsche 914-2,107
Volvo 142E,85
Pontiac Firebird,139
Merc 450SL,88
Hornet 4 Drive,151
Merc 240D,148
Fiat X1-9,116
Duster 360,147
Duster 360,129
Volvo 142E,116
Lotus Europa,106
Hornet Sportabout,132
Volvo 142E,103
Valiant,99
Merc 240D,146
Fiat X1-9,114
Fiat X1-9,92
Cadillac Fleetwood,146
Pontiac Firebird,112
Merc 450SE,152
Hornet 4 Drive,117
Datsun 710,148
Camaro Z28,138
Maserati Bora,132
Camaro Z28,152
Honda Civic,161
Merc 240D,134
Merc 450SLC,102
Datsun 710,127
Fiat X1-9,95
Merc 450SLC,143
Camaro Z28,136
Honda Civic,133
Duster 360,145
Merc 450SE,138
Fiat X1-9,98
Pontiac Firebird,132
Fiat X1-9,109
Camaro Z28,137
Hornet 4 Drive,130
Merc 230,116
Merc 450SLC,97
Merc 280,134
Dodge Challenger,118
Merc 450SLC,118
Hornet 4 Drive,150
Merc 240D,127
Lotus Europa,104
Fiat X1-9,96
Lotus Europa,109
Lincoln Continental,160
Hornet Sportabout,139
Camaro Z28,166
Merc 230,128
Merc 280,133
Dodge Challenger,97
Merc 240D,149
Hornet Sportabout,137
Hornet Sportabout,129
Mazda RX4 Wag,102
Merc 450SL,88
Hornet 4 Drive,134
Porsche 914-2,106
Valiant,94
Merc 450SL,92
Mazda RX4 Wag,98
Merc 450SL,87
Mazda RX4 Wag,121
Toyota Corolla,111
Camaro Z28,133
Dodge Challenger,105
Toyota Corolla,111
Pontiac Firebird,125
Fiat X1-9,111
Pontiac Firebird,110
Merc 450SLC,112
Dodge Challenger,107
Merc 450SLC,122
Pontiac Firebird,109
Honda Civic,149
Merc 450SLC,104
Merc 230,112
Merc 280C,165
Pontiac Firebird,118
Hornet Sportabout,144
Hornet 4 Drive,119
Valiant,132
Camaro Z28,157
Lincoln Continental,141
Merc 450SE,162
Cadillac Fleetwood,132
Volvo 142E,97
Honda Civic,127
Volvo 142E,96
Honda Civic,137
Maserati Bora,121
Valiant,81
Dodge Challenger,123
Merc 230,139
Valiant,95
Fiat X1-9,93
Datsun 710,134
Merc 450SLC,109
Ferrari Dino,152
AMC Javelin,151
Valiant,88
Chrysler Imperial,135
Lotus Europa,107
Valiant,98
Hornet 4 Drive,138
Merc 450SLC,127
Mazda RX4 Wag,89
Merc 450SLC,127
Ford Pantera L,87
Lotus Europa,97
Merc 450SLC,130
Hornet Sportabout,137
Dodge Challenger,99
Hornet Sportabout,144
Merc 280C,136
Merc 450SE,129
Fiat X1-9,95
Merc 280,144
Lotus Europa,115
Pontiac Firebird,130
Lotus Europa,103
Lotus Europa,105
Hornet Sportabout,137
Lotus Europa,89
Toyota Corona,101
Honda Civic,135
Lotus Europa,118
Camaro Z28,139
Honda Civic,125
Merc 230,125
Hornet 4 Drive,155
Merc 230,114
Ferrari Dino,138
Dodge Challenger,95
Duster 360,137
Mazda RX4 Wag,106
Duster 360,150
Ferrari Dino,141
Merc 230,131
Maserati Bora,110
Merc 450SL,84
Merc 280C,141
Pontiac Firebird,113
Hornet Sportabout,136
Duster 360,136
Chrysler Imperial,138
Ferrari Dino,135
Merc 280C,149
Dodge Challenger,122
Hornet Sportabout,146
Lincoln Continental,157
Datsun 710,123
Merc 230,115
Maserati Bora,134
Valiant,103
Merc 450SE,152
Lotus Europa,111
Merc 230,117
Hornet Sportabout,144
Honda Civic,136
Merc 230,126
Volvo 142E,95
Porsche 914-2,104
Merc 280,129
Honda Civic,128
Porsche 914-2,100
Merc 450SLC,113
Camaro Z28,168
Lotus Europa,100
Honda Civic,131
Volvo 142E,95
Honda Civic,138
Valiant,101
Merc 240D,127
Pontiac Firebird,127
Merc 240D,136
Pontiac Firebird,106
Merc 450SL,105
Merc 450SL,94
Duster 360,149
Merc 450SE,147
Camaro Z28,147
Volvo 142E,99
Datsun 710,137
Hornet 4 Drive,130
Duster 360,116
Datsun 710,122
Porsche 914-2,109
Dodge Challenger,84
Lincoln Continental,140
Honda Civic,130
Merc 450SE,153
Cadillac Fleetwood,125
Fiat 128,97
Cadillac Fleetwood,117
Dodge Challenger,100
Merc 450SE,141
Honda Civic,112
Ford Pantera L,88
Ford Pantera L,88
Honda Civic,143
Pontiac Firebird,106
Dodge Challenger,92
Merc 280C,146
Camaro Z28,150
Honda Civic,140
Hornet 4 Drive,137
Merc 280C,153
Hornet Sportabout,139
Valiant,115
Maserati Bora,131
Fiat 128,107
Ford Pantera L,104
Camaro Z28,140
Valiant,104
Valiant,105
Ferrari Dino,144
Maserati Bora,131
Cadillac Fleetwood,126
Merc 230,121
Hornet 4 Drive,143
Dodge Challenger,126
Merc 450SE,147
Hornet 4 Drive,142
Fiat 128,87
Volvo 142E,108
AMC Javelin,157
Toyota Corona,99
Merc 280C,138
Dodge Challenger,87
Toyota Corolla,100
Hornet 4 Drive,128
Merc 280,136
Valiant,102
Honda Civic,145
Pontiac Firebird,126
Valiant,98
Merc 450SL,74
Merc 280,156
Pontiac Firebird,117
Merc 280,149
Hornet Sportabout,143
Pontiac Firebird,122
AMC Javelin,148
Lotus Europa,90
Dodge Challenger,84
Mazda RX4 Wag,97
Merc 280C,138
Duster 360,141
Merc 450SL,72
Ford Pantera L,109
Merc 240D,122
Merc 230,120
Lincoln Continental,142
Merc 230,129
Valiant,93
Chrysler Imperial,121
Chrysler Imperial,141
Fiat X1-9,119
Lincoln Continental,147
Valiant,90
Fiat 128,90
Ferrari Dino,143
Duster 360,136
Camaro Z28,144
Camaro Z28,146
Merc 450SE,150
Duster 360,129
Mazda RX4 Wag,103
Pontiac Firebird,109
Dodge Challenger,108
Lotus Europa,100
Mazda RX4 Wag,106
Merc 280,134
Datsun 710,146
AMC Javelin,136
Ferrari Dino,138
Lotus Europa,120
Dodge Challenger,100
Valiant,108
Mazda RX4 Wag,109
Duster 360,119
Hornet Sportabout,136
Ford Pantera L,107
Hornet 4 Drive,124
Mazda RX4 Wag,121
Toyota Corona,94
Lotus Europa,102
Mazda RX4 Wag,100
Hornet Sportabout,136
Pontiac Firebird,116
Merc 450SE,136
Merc 230,137
Ford Pantera L,87
Dodge Challenger,108
Merc 280C,143
Pontiac Firebird,109
Cadillac Fleetwood,138
Dodge Challenger,100
Merc 450SLC,111
Merc 230,148
Merc 280,159
Maserati Bora,116
Cadillac Fleetwood,131
Toyota Corona,93
Fiat 128,102
Chrysler Imperial,133
Ford Pantera L,86
Merc 230,109
Merc 230,117
Chrysler Imperial,145
Datsun 710,132
Ferrari Dino,125
AMC Javelin,135
Datsun 710,122
Camaro Z28,159
Camaro Z28,163
Ford Pantera L,78
Hornet Sportabout,129
Volvo 142E,94
Pontiac Firebird,130
Merc 450SE,144
Dodge Challenger,101
Honda Civic,140
Hornet Sportabout,147
Dodge Challenger,114
Fiat X1-9,116
Chrysler Imperial,147
Volvo 142E,96
Merc 230,133
Maserati Bora,130
Lincoln Continental,140
Toyota Corona,91
Merc 450SE,150
Hornet Sportabout,133
Camaro Z28,151
Fiat X1-9,91
Honda Civic,137
Cadillac Fleetwood,145
Duster 360,128
Merc 240D,119
Honda Civic,137
Hornet Sportabout,136
Lincoln Continental,126
Ford Pantera L,99
Hornet 4 Drive,116
Mazda RX4 Wag,100
Valiant,114
Volvo 142E,99
Fiat X1-9,112
Lincoln Continental,146
Fiat X1-9,129
Hornet Sportabout,127
Ford Pantera L,70
Hornet 4 Drive,132
Merc 230,126
Lotus Europa,105
Porsche 914-2,118
Merc 450SE,146
Valiant,99
Volvo 142E,90
AMC Javelin,164
Duster 360,134
Datsun 710,132
Lincoln Continental,139
Merc 280,149
Merc 280C,132
Maserati Bora,132
Merc 450SE,137
Merc 280C,139
Camaro Z28,151
Camaro Z28,145
Volvo 142E,106
Merc 230,126
Cadillac Fleetwood,135
Merc 240D,137
Merc 280,151
Ford Pantera L,91
Fiat X1-9,116
Mazda RX4 Wag,103
AMC Javelin,130
Merc 230,128
Camaro Z28,162
Lotus Europa,94
Hornet 4 Drive,146
Hornet 4 Drive,130
Merc 230,124
Mazda RX4 Wag,92
Hornet 4 Drive,133
Merc 240D,124
Valiant,102
Mazda RX4 Wag,105
Valiant,112
Merc 280,135
Mazda RX4 Wag,105
Volvo 142E,98
Cadillac Fleetwood,117
Hornet Sportabout,127
Toyota Corona,91
Merc 230,117
Merc 280,144
Hornet 4 Drive,126
Hornet Sportabout,141
Chrysler Imperial,134
Merc 280,131
Porsche 914-2,107
Volvo 142E,88
Ford Pantera L,98
Toyota Corolla,107
Datsun 710,139
Merc 450SE,148
Datsun 710,136
Merc 230,122
Cadillac Fleetwood,127
Merc 450SE,144
Ford Pantera L,100
Merc 240D,126
Valiant,103
Merc 450SE,140
Porsche 914-2,108
Merc 450SLC,114
Merc 280C,145
Duster 360,149
Ford Pantera L,82
Toyota Corona,91
Chrysler Imperial,131
Toyota Corolla,114
Volvo 142E,108
Hornet Sportabout,144
Datsun 710,142
Cadillac Fleetwood,139
Valiant,104
Lincoln Continental,151
Lincoln Continental,156
Duster 360,103
Chrysler Imperial,118
Honda Civic,139
Maserati Bora,127
Lotus Europa,105
Pontiac Firebird,115
Ferrari Dino,152
Ford Pantera L,97
Merc 230,135
AMC Javelin,151
Toyota Corolla,110
Lotus Europa,112
Dodge Challenger,108
Merc 450SLC,123
Pontiac Firebird,96
Porsche 914-2,119
Merc 450SE,134
Pontiac Firebird,137
Merc 450SE,134
Fiat 128,96
Maserati Bora,110
Camaro Z28,140
Maserati Bora,145
Dodge Challenger,122
Volvo 142E,85
Ferrari Dino,120
Merc 280C,145
Lotus Europa,110
Honda Civic,123
Duster 360,144
Merc 450SL,98
Merc 280,142
Maserati Bora,120
Ferrari Dino,141
Datsun 710,132
Merc 230,109
Camaro Z28,146
Merc 240D,141
Merc 240D,121
Merc 450SE,141
Lincoln Continental,133
Ford Pantera L,105
Merc 280,160
Maserati Bora,155
Merc 450SE,151
Porsche 914-2,102
Valiant,90
Merc 450SLC,118
Cadillac Fleetwood,140
Merc 230,126
Mazda RX4 Wag,100
Merc 450SLC,124
AMC Javelin,158
Hornet Sportabout,153
Ford Pantera L,98
Datsun 710,130
Merc 280,160
Pontiac Firebird,120
Merc 240D,124
Volvo 142E,87
Ford Pantera L,98
Chrysler Imperial,141
Pontiac Firebird,103
Pontiac Firebird,126
Porsche 914-2,100
Honda Civic,142
Valiant,95
Merc 450SL,107
Porsche 914-2,115
Merc 280,149
Merc 450SE,158
Toyota Corona,92
Lotus Europa,98
Honda Civic,130
Duster 360,112
AMC Javelin,144
Merc 450SL,103
Cadillac Fleetwood,141
Merc 450SLC,127
Camaro Z28,139
Mazda RX4 Wag,92
Merc 230,136
Chrysler Imperial,121
Camaro Z28,136
Hornet Sportabout,143
Lotus Europa,97
Lincoln Continental,150
AMC Javelin,149
Porsche 914-2,116
Valiant,108
Porsche 914-2,119
Duster 360,114
Lincoln Continental,147
Cadillac Fleetwood,132
Porsche 914-2,115
Merc 450SE,144
Volvo 142E,91
Hornet 4 Drive,129
Merc 450SL,90
Merc 280,136
Duster 360,131
Datsun 710,137
Toyota Corona,98
Lotus Europa,108
Merc 450SE,145
Cadillac Fleetwood,135
Merc 450SLC,112
Camaro Z28,130
Hornet Sportabout,125
Merc 450SE,151
Fiat 128,92
Porsche 914-2,106
Volvo 142E,93
Merc 450SE,140
Merc 280C,134
Hornet Sportabout,126
Ferrari Dino,138
Merc 280,138
Merc 450SLC,107
Merc 450SL,100
Cadillac Fleetwood,138
Porsche 914-2,105
Cadillac Fleetwood,137
Hornet Sportabout,149
Porsche 914-2,110
Valiant,97
Merc 240D,144
Merc 230,126
Volvo 142E,110
Merc 240D,138
Pontiac Firebird,92
Datsun 710,158
Merc 280,137
Hornet Sportabout,143
Merc 240D,137
Camaro Z28,144
Merc 280,134
Datsun 710,147
Lotus Europa,92
Volvo 142E,84
Honda Civic,134
Camaro Z28,155
Pontiac Firebird,127
Toyota Corona,115
AMC Javelin,143
Merc 280,148
Volvo 142E,86
Dodge Challenger,105
Merc 280,143
Merc 230,130
Maserati Bora,117
Volvo 142E,101
Porsche 914-2,101
Dodge Challenger,105
Pontiac Firebird,118
Camaro Z28,134
Duster 360,115
Cadillac Fleetwood,138
Lincoln Continental,140
Hornet 4 Drive,135
Ford Pantera L,92
Dodge Challenger,104
Merc 280,132
Volvo 142E,96
Merc 280,140
Maserati Bora,132
Valiant,98
Volvo 142E,94
Merc 280,148
Porsche 914-2,102
Merc 450SE,140
Volvo 142E,91
AMC Javelin,154
Hornet Sportabout,120
Merc 240D,155
Merc 280C,162
Ferrari Dino,128
Dodge Challenger,97
Maserati Bora,135
Merc 450SE,126
Hornet 4 Drive,124
Merc 450SE,134
Merc 450SLC,112
Pontiac Firebird,121
Merc 450SE,135
Merc 280C,151
Duster 360,134
Ferrari Dino,136
Datsun 710,137
Toyota Corona,77
Toyota Corolla,117
Mazda RX4 Wag,90
Ford Pantera L,98
Hornet 4 Drive,137
Datsun 710,150
Toyota Corona,88
Camaro Z28,153
Chrysler Imperial,133
Dodge Challenger,118
Toyota Corona,102
Merc 280,151
AMC Javelin,145
Camaro Z28,132
Duster 360,129
Merc 450SE,128
Duster 360,126
Porsche 914-2,110
Merc 450SE,150
Fiat 128,94
AMC Javelin,134
Honda Civic,134
Toyota Corona,87
Lincoln Continental,155
Duster 360,129
Porsche 914-2,107
Dodge Challenger,88
Porsche 914-2,94
Pontiac Firebird,138
Merc 450SLC,119
Honda Civic,146
Merc 450SE,152
Mazda RX4 Wag,120
Merc 450SLC,120
Fiat 128,109
Merc 230,140
Datsun 710,140
Cadillac Fleetwood,137
Fiat X1-9,112
Pontiac Firebird,128
Porsche 914-2,98
Volvo 142E,95
Fiat 128,106
Fiat X1-9,122
Toyota Corona,80
Hornet Sportabout,139
Cadillac Fleetwood,125
Volvo 142E,88
Merc 240D,147
Merc 450SE,152
Maserati Bora,120
Toyota Corona,100
Dodge Challenger,111
Datsun 710,123
Hornet Sportabout,151
Lotus Europa,119
Merc 450SLC,107
Merc 450SLC,130
Merc 450SE,152
Fiat X1-9,115
Lincoln Continental,133
Dodge Challenger,101
Merc 450SE,146
Duster 360,132
Merc 450SE,139
Volvo 142E,101
Fiat X1-9,101
Merc 280,147
Duster 360,141
Merc 450SE,154
Lincoln Continental,151
Hornet Sportabout,128
Mazda RX4 Wag,107
Merc 230,124
Camaro Z28,143
Merc 280C,136
Merc 280C,142
Ferrari Dino,130
Pontiac Firebird,100
Fiat 128,83
Pontiac Firebird,138
Lotus Europa,88
Lotus Europa,106
Camaro Z28,149
Valiant,113
Valiant,111
Lotus Europa,97
Mazda RX4 Wag,102
Hornet Sportabout,144
Maserati Bora,140
AMC Javelin,135
Cadillac Fleetwood,155
Porsche 914-2,98
Merc 450SE,141
Maserati Bora,121
Fiat 128,98
Ford Pantera L,105
Hornet Sportabout,151
Merc 230,143
Fiat X1-9,112
Ford Pantera L,93
Merc 280C,134
Ford Pantera L,93
Volvo 142E,104
Volvo 142E,97
Merc 450SL,99
Merc 230,119
Volvo 142E,98
Valiant,113
Merc 230,136
Dodge Challenger,121
Merc 280C,135
Mazda RX4 Wag,113
Hornet 4 Drive,137
Camaro Z28,150
Chrysler Imperial,119
Chrysler Imperial,125
Duster 360,135
Mazda RX4 Wag,96
Porsche 914-2,97
Fiat 128,101
Lotus Europa,92
Hornet 4 Drive,129
Toyota Corona,96
Merc 280,144
Merc 240D,132
Porsche 914-2,112
Chrysler Imperial,136
Merc 280C,133
AMC Javelin,133
Merc 280C,158
Valiant,87
Toyota Corona,88
Merc 280C,140
Merc 450SLC,101
Camaro Z28,150
Chrysler Imperial,120
Merc 240D,146
Duster 360,138
Volvo 142E,89
Fiat X1-9,100
Toyota Corona,95
Mazda RX4 Wag,105
Mazda RX4 Wag,114
Merc 280C,147
Honda Civic,131
Valiant,115
Camaro Z28,153
Fiat X1-9,127
Volvo 142E,101
Merc 280,156
Camaro Z28,140
Merc 280,149
Merc 450SL,95
Merc 280,147
Toyota Corona,94
Fiat X1-9,96
Hornet Sportabout,144
Porsche 914-2,85
Merc 230,121
Porsche 914-2,97
Lincoln Continental,145
Merc 280C,136
Lotus Europa,112
Camaro Z28,149
Camaro Z28,134
Ford Pantera L,91
Hornet Sportabout,136
Duster 360,144
Ford Pantera L,89
Merc 280C,138
Merc 450SLC,99
Duster 360,128
Merc 280,151
Merc 240D,133
Valiant,95
Valiant,114
Hornet Sportabout,145
Duster 360,106
Maserati Bora,125
Pontiac Firebird,114
Datsun 710,148
Volvo 142E,88
Pontiac Firebird,123
Merc 450SE,150
AMC Javelin,132
Volvo 142E,86
Valiant,86
Merc 280C,159
Porsche 914-2,92
Merc 280,132
Duster 360,147
Hornet Sportabout,149
Fiat 128,97
AMC Javelin,164
Hornet Sportabout,125
Dodge Challenger,121
Volvo 142E,89
Pontiac Firebird,118
Dodge Challenger,128
Toyota Corolla,93
Ford Pantera L,91
Merc 450SLC,129
Ford Pantera L,100
Merc 280,138
Ferrari Dino,144
Valiant,102
Dodge Challenger,111
Hornet 4 Drive,138
Ford Pantera L,84
Porsche 914-2,110
Maserati Bora,139
Duster 360,133
Fiat 128,104
Lincoln Continental,161
Cadillac Fleetwood,142
Merc 240D,141
Hornet Sportabout,130
Fiat X1-9,113
Merc 450SLC,113
Merc 280,125
Camaro Z28,140
Pontiac Firebird,131
Toyota Corolla,99
Merc 280C,115
Honda Civic,142
Mazda RX4 Wag,99
Merc 280,131
Dodge Challenger,79
AMC Javelin,156
Datsun 710,144
Valiant,102
Merc 240D,128
Dodge Challenger,121
Valiant,89
Duster 360,129
Maserati Bora,122
Merc 450SLC,122
Merc 240D,129
Pontiac Firebird,132
Merc 450SE,137
Merc 450SLC,119
Hornet Sportabout,130
Merc 450SE,152
Datsun 710,148
Hornet 4 Drive,137
Hornet 4 Drive,151
Merc 280,124
Pontiac Firebird,129
Fiat X1-9,116
Datsun 710,128
Mazda RX4 Wag,100
Merc 230,104
Datsun 710,127
Toyota Corona,89
Merc 450SE,133
Merc 280,129
Lotus Europa,89
Hornet 4 Drive,134
Ferrari Dino,122
Toyota Corona,89
Lotus Europa,108
AMC Javelin,151
Camaro Z28,134
Merc 450SL,98
AMC Javelin,158
Toyota Corona,86
Mazda RX4 Wag,100
Fiat X1-9,95
Lincoln Continental,134
Toyota Corolla,107
Dodge Challenger,100
Fiat X1-9,100
Merc 240D,127
Merc 450SLC,120
Valiant,86
Camaro Z28,137
Duster 360,143
Volvo 142E,100
Ferrari Dino,136
Toyota Corona,88
AMC Javelin,148
Merc 240D,134
Merc 450SE,158
AMC Javelin,147
Merc 240D,121
Mazda RX4 Wag,97
Merc 450SE,144
Ferrari Dino,131
Merc 230,112
Volvo 142E,119
Merc 230,122
Mazda RX4 Wag,100
Pontiac Firebird,114
Hornet 4 Drive,151
Mazda RX4 Wag,104
Dodge Challenger,105
Porsche 914-2,106
Valiant,101
Ford Pantera L,122
Honda Civic,150
Porsche 914-2,104
Merc 280,140
Chrysler Imperial,124
Pontiac Firebird,105
Pontiac Firebird,125
Duster 360,139
Datsun 710,145
Merc 240D,150
Fiat 128,75
Camaro Z28,117
Toyota Corolla,96
Honda Civic,134
Fiat X1-9,106
Merc 230,114
Fiat 128,106
Datsun 710,126
Merc 280C,156
Pontiac Firebird,100
Duster 360,127
Merc 240D,145
Merc 280,156
Fiat X1-9,105
AMC Javelin,160
Chrysler Imperial,124
Ferrari Dino,137
Merc 240D,141
Hornet Sportabout,153
Merc 450SLC,126
Merc 230,112
Merc 450SLC,128
Lotus Europa,100
Lotus Europa,98
Toyota Corona,112
Merc 450SLC,101
Camaro Z28,154
Porsche 914-2,100
Volvo 142E,72
Honda Civic,143
Fiat 128,86
Camaro Z28,157
Lotus Europa,114
Merc 450SL,95
Dodge Challenger,93
Merc 450SLC,135
Merc 450SE,141
Merc 450SLC,115
Toyota Corona,81
Merc 280,137
Volvo 142E,113
Lotus Europa,106
Maserati Bora,133
Duster 360,127
Mazda RX4 Wag,96
Chrysler Imperial,124
Ford Pantera L,76
Fiat X1-9,87
Merc 450SL,97
Merc 280C,144
Merc 450SLC,117
Merc 280,133
Honda Civic,134
Merc 450SLC,112
Hornet 4 Drive,119
Toyota Corona,106
Merc 450SE,141
Merc 450SE,135
Dodge Challenger,106
Mazda RX4 Wag,101
Camaro Z28,145
Datsun 710,115
Merc 240D,128
Lotus Europa,107
Merc 450SLC,111
Pontiac Firebird,116
Merc 230,131
Hornet Sportabout,151
Volvo 142E,92
Merc 230,114
Merc 450SL,102
Porsche 914-2,98
Hornet 4 Drive,144
Honda Civic,140
Merc 450SE,164
Merc 230,108
Camaro Z28,135
Merc 450SE,144
Mazda RX4 Wag,114
Merc 450SL,100
Hornet Sportabout,142
Datsun 710,158
Fiat 128,121
Dodge Challenger,107
Duster 360,131
Merc 230,136
Maserati Bora,121
Merc 230,123
Duster 360,148
Pontiac Firebird,113
Honda Civic,143
Ferrari Dino,125
Merc 240D,135
Pontiac Firebird,139
Dodge Challenger,88
Fiat X1-9,115
Datsun 710,125
Dodge Challenger,100
Maserati Bora,120
Fiat X1-9,119
Merc 280C,148
Toyota Corona,109
Valiant,117
Merc 280,139
Lotus Europa,97
Toyota Corolla,119
Toyota Corona,90
Hornet 4 Drive,124
AMC Javelin,143
Merc 230,111
Fiat 128,104
Fiat 128,99
Merc 450SE,133
Porsche 914-2,102
AMC Javelin,155
AMC Javelin,144
Merc 240D,130
Dodge Challenger,113
Volvo 142E,110
Merc 450SE,145
Valiant,109
Merc 450SE,142
Camaro Z28,149
Toyota Corolla,92
Hornet Sportabout,126
Lotus Europa,120
Merc 450SE,151
Honda Civic,126
Merc 240D,141
Toyota Corolla,96
Mazda RX4 Wag,93
Volvo 142E,106
Hornet Sportabout,125
Lotus Europa,96
AMC Javelin,152
Merc 280,135
Merc 240D,137
Duster 360,139
Datsun 710,154
Merc 450SE,156
Merc 450SE,146
Ford Pantera L,93
Lotus Europa,109
Honda Civic,128
Hornet Sportabout,126
Mazda RX4 Wag,86
Merc 280,162
Maserati Bora,130
Dodge Challenger,90
Merc 280,135
Merc 230,134
Honda Civic,131
Valiant,100
Ferrari Dino,131
Mazda RX4 Wag,111
Volvo 142E,88
Hornet Sportabout,157
Merc 450SL,98
Porsche 914-2,100
Merc 450SL,95
Merc 280C,152
Lotus Europa,93
Mazda RX4 Wag,108
Merc 240D,118
Cadillac Fleetwood,142
Mazda RX4 Wag,108
Honda Civic,158
Merc 240D,147
Fiat 128,92
Hornet Sportabout,127
Duster 360,116
Valiant,111
Cadillac Fleetwood,133
Valiant,99
Pontiac Firebird,111
Camaro Z28,129
Lincoln Continental,141
Duster 360,132
Mazda RX4 Wag,90
Cadillac Fleetwood,158
Merc 230,127
Dodge Challenger,121
Ford Pantera L,100
Honda Civic,139
Merc 450SLC,106
Merc 280C,139
Mazda RX4 Wag,101
Honda Civic,134
Lotus Europa,106
Lincoln Continental,158
Hornet Sportabout,152
Pontiac Firebird,124
Mazda RX4 Wag,99
Toyota Corolla,106
Lotus Europa,106
Dodge Challenger,82
Merc 280,143
Merc 230,107
Dodge Challenger,75
Valiant,118
Duster 360,138
Hornet Sportabout,162
Merc 280,168
Duster 360,140
Mazda RX4 Wag,95
Chrysler Imperial,129
Merc 450SLC,112
Merc 450SE,143
Merc 280,158
Duster 360,138
Valiant,115
Dodge Challenger,95
Toyota Corona,80
Mazda RX4 Wag,106
Merc 280C,155
Volvo 142E,100
Dodge Challenger,86
Merc 450SE,137
Merc 450SE,163
Ford Pantera L,94
